id,treatment,age,female,black,hispanic,white,democrat,republican,trans_therm_t0,trans_therm_t1,trans_therm_t2,trans_therm_t3,trans_law_t3,responded_t1,responded_t3
9597,1,58,0,0,1,0,0,1,50,44,50,40,1,1,1
66738,1,49,1,0,1,0,0,0,52,50,82,50,3,1,1
42173,1,19,1,0,1,0,0,0,65,60,90,80,3,1,1
57059,0,43,1,0,1,0,1,0,100,NA,NA,NA,NA,0,0
57113,0,49,0,0,0,1,1,0,100,NA,NA,NA,NA,0,0
26896,1,27,1,0,1,0,0,0,100,100,100,100,3,1,1
9284,1,68,0,0,1,0,0,0,50,100,100,50,3,1,1
23032,1,66,0,0,1,0,0,0,50,NA,50,50,1,0,1
17123,1,43,0,0,1,0,1,0,50,NA,50,50,2,0,1
60764,1,42,1,0,0,1,0,0,50,50,50,50,3,1,1
36560,0,45,1,0,1,0,0,1,50,71,NA,85,1,1,1
67389,0,19,0,0,1,0,0,1,100,85,NA,NA,NA,1,0
35590,0,82,1,0,1,0,0,1,50,50,41,NA,NA,1,0
40062,1,51,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
44695,1,72,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
58087,1,72,0,0,0,1,0,1,95,85,75,80,3,1,1
32268,1,21,1,0,1,0,0,0,99,NA,NA,NA,NA,0,0
8536,1,51,0,0,0,1,1,0,29,NA,NA,NA,NA,0,0
14732,1,52,0,0,0,1,0,0,0,NA,NA,NA,NA,0,0
24679,0,52,1,0,1,0,0,0,50,50,69,50,3,1,1
3163,1,60,1,0,0,1,1,0,49,NA,NA,NA,NA,0,0
29963,1,57,0,0,0,1,0,0,75,85,95,60,3,1,1
20032,0,73,1,0,0,1,0,1,50,85,92,50,2,1,1
1939,0,65,0,0,1,0,0,0,61,50,75,50,2,1,1
498,0,30,1,0,0,1,0,0,78,82,50,65,3,1,1
3710,0,30,0,0,1,0,0,1,71,75,80,50,3,1,1
9158,1,49,1,0,1,0,0,0,100,NA,NA,NA,NA,0,0
36655,0,56,1,0,0,1,1,0,100,NA,NA,NA,NA,0,0
53484,1,66,1,0,0,1,1,0,100,100,100,96,3,1,1
36864,1,61,0,0,0,1,1,0,100,50,90,85,2,1,1
57812,0,66,0,0,1,0,1,0,50,NA,NA,NA,NA,0,0
16898,0,25,1,0,1,0,0,0,73,NA,NA,NA,NA,0,0
62373,0,64,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
27393,1,80,1,0,1,0,0,1,50,NA,NA,NA,NA,0,0
37515,1,70,0,0,1,0,0,1,76,NA,NA,NA,NA,0,0
39373,0,61,0,0,0,1,1,0,50,NA,NA,NA,NA,0,0
58958,1,17,0,0,1,0,0,0,50,NA,NA,NA,NA,0,0
41830,1,71,1,0,1,0,1,0,50,NA,NA,NA,NA,0,0
53433,0,42,1,0,1,0,0,1,50,100,95,95,3,1,1
1044,0,33,1,0,1,0,0,1,85,50,50,50,1,1,1
47678,0,33,0,0,1,0,0,1,35,30,50,40,3,1,1
12177,0,35,0,0,0,1,1,0,63,NA,NA,NA,NA,0,0
26888,0,51,0,0,1,0,0,0,50,50,NA,NA,NA,1,0
43587,0,75,0,0,1,0,0,0,50,50,NA,50,0,1,1
28478,0,53,1,0,0,1,0,1,20,28,7,0,-3,1,1
12461,0,27,1,0,1,0,0,1,50,31,18,0,-2,1,1
1524,0,77,1,0,1,0,0,1,0,0,0,0,-3,1,1
15187,0,29,1,0,1,0,0,0,95,77,70,84,3,1,1
